NAME                                     READY   STATUS    RESTARTS   AGE    IP              NODE          NOMINATED NODE   READINESS GATES
deepseek671-32-verl-moe-8k-master-0      1/1     Running   0          125m   10.127.39.28    pm-20130025   <none>           <none>
deepseek671-32-verl-moe-8k-worker-0      1/1     Running   0          125m   10.127.39.64    pm-20130061   <none>           <none>
deepseek671-32-verl-moe-8k-worker-1      1/1     Running   0          125m   10.127.39.76    pm-20130073   <none>           <none>
deepseek671-32-verl-moe-8k-worker-10     1/1     Running   0          125m   10.127.39.50    pm-20130047   <none>           <none>
deepseek671-32-verl-moe-8k-worker-11     1/1     Running   0          125m   10.127.40.81    pm-d12e0078   <none>           <none>
deepseek671-32-verl-moe-8k-worker-12     1/1     Running   0          125m   10.127.39.124   pm-20130121   <none>           <none>
deepseek671-32-verl-moe-8k-worker-13     1/1     Running   0          125m   10.127.39.100   pm-20130097   <none>           <none>
deepseek671-32-verl-moe-8k-worker-14     1/1     Running   0          125m   10.127.39.38    pm-20130035   <none>           <none>
deepseek671-32-verl-moe-8k-worker-15     1/1     Running   0          125m   10.127.40.57    pm-d12e0054   <none>           <none>
deepseek671-32-verl-moe-8k-worker-16     1/1     Running   0          125m   10.127.40.28    pm-d12e0025   <none>           <none>
deepseek671-32-verl-moe-8k-worker-17     1/1     Running   0          125m   10.127.39.25    pm-20130022   <none>           <none>
deepseek671-32-verl-moe-8k-worker-18     1/1     Running   0          125m   10.127.40.41    pm-d12e0038   <none>           <none>
deepseek671-32-verl-moe-8k-worker-19     1/1     Running   0          125m   10.127.39.71    pm-20130068   <none>           <none>
deepseek671-32-verl-moe-8k-worker-2      1/1     Running   0          125m   10.127.39.29    pm-20130026   <none>           <none>
deepseek671-32-verl-moe-8k-worker-20     1/1     Running   0          125m   10.127.40.114   pm-d12e0111   <none>           <none>
deepseek671-32-verl-moe-8k-worker-21     1/1     Running   0          125m   10.127.39.70    pm-20130067   <none>           <none>
deepseek671-32-verl-moe-8k-worker-22     1/1     Running   0          125m   10.127.40.21    pm-d12e0018   <none>           <none>
deepseek671-32-verl-moe-8k-worker-23     1/1     Running   0          125m   10.127.40.24    pm-d12e0021   <none>           <none>
deepseek671-32-verl-moe-8k-worker-24     1/1     Running   0          125m   10.127.40.16    pm-d12e0013   <none>           <none>
deepseek671-32-verl-moe-8k-worker-25     1/1     Running   0          125m   10.127.40.103   pm-d12e0100   <none>           <none>
deepseek671-32-verl-moe-8k-worker-26     1/1     Running   0          125m   10.127.39.98    pm-20130095   <none>           <none>
deepseek671-32-verl-moe-8k-worker-27     1/1     Running   0          125m   10.127.40.68    pm-d12e0065   <none>           <none>
deepseek671-32-verl-moe-8k-worker-28     1/1     Running   0          125m   10.127.40.60    pm-d12e0057   <none>           <none>
deepseek671-32-verl-moe-8k-worker-29     1/1     Running   0          125m   10.127.40.29    pm-d12e0026   <none>           <none>
deepseek671-32-verl-moe-8k-worker-3      1/1     Running   0          125m   10.127.40.107   pm-d12e0104   <none>           <none>
deepseek671-32-verl-moe-8k-worker-30     1/1     Running   0          125m   10.127.39.37    pm-20130034   <none>           <none>
deepseek671-32-verl-moe-8k-worker-4      1/1     Running   0          125m   10.127.40.46    pm-d12e0043   <none>           <none>
deepseek671-32-verl-moe-8k-worker-5      1/1     Running   0          125m   10.127.39.61    pm-20130058   <none>           <none>
deepseek671-32-verl-moe-8k-worker-6      1/1     Running   0          125m   10.127.39.126   pm-20130123   <none>           <none>
deepseek671-32-verl-moe-8k-worker-7      1/1     Running   0          125m   10.127.40.47    pm-d12e0044   <none>           <none>
deepseek671-32-verl-moe-8k-worker-8      1/1     Running   0          125m   10.127.39.42    pm-20130039   <none>           <none>
deepseek671-32-verl-moe-8k-worker-9      1/1     Running   0          125m   10.127.39.40    pm-20130037   <none>           <none>
