NAME                                     READY   STATUS    RESTARTS   AGE   IP              NODE          NOMINATED NODE   READINESS GATES
deepseek671-32-verl-moe-verl-master-0    1/1     Running   0          27m   10.127.40.18    pm-d12e0015   <none>           <none>
deepseek671-32-verl-moe-verl-worker-0    1/1     Running   0          27m   10.127.40.45    pm-d12e0042   <none>           <none>
deepseek671-32-verl-moe-verl-worker-1    1/1     Running   0          27m   10.127.39.116   pm-20130113   <none>           <none>
deepseek671-32-verl-moe-verl-worker-10   1/1     Running   0          27m   10.127.39.76    pm-20130073   <none>           <none>
deepseek671-32-verl-moe-verl-worker-11   1/1     Running   0          27m   10.127.40.51    pm-d12e0048   <none>           <none>
deepseek671-32-verl-moe-verl-worker-12   1/1     Running   0          27m   10.127.40.9     pm-d12e0006   <none>           <none>
deepseek671-32-verl-moe-verl-worker-13   1/1     Running   0          27m   10.127.39.29    pm-20130026   <none>           <none>
deepseek671-32-verl-moe-verl-worker-14   1/1     Running   0          27m   10.127.40.47    pm-d12e0044   <none>           <none>
deepseek671-32-verl-moe-verl-worker-15   1/1     Running   0          27m   10.127.39.71    pm-20130068   <none>           <none>
deepseek671-32-verl-moe-verl-worker-16   1/1     Running   0          27m   10.127.40.114   pm-d12e0111   <none>           <none>
deepseek671-32-verl-moe-verl-worker-17   1/1     Running   0          27m   10.127.39.124   pm-20130121   <none>           <none>
deepseek671-32-verl-moe-verl-worker-18   1/1     Running   0          27m   10.127.40.65    pm-d12e0062   <none>           <none>
deepseek671-32-verl-moe-verl-worker-19   1/1     Running   0          27m   10.127.40.91    pm-d12e0088   <none>           <none>
deepseek671-32-verl-moe-verl-worker-2    1/1     Running   0          27m   10.127.40.105   pm-d12e0102   <none>           <none>
deepseek671-32-verl-moe-verl-worker-20   1/1     Running   0          27m   10.127.40.115   pm-d12e0112   <none>           <none>
deepseek671-32-verl-moe-verl-worker-21   1/1     Running   0          27m   10.127.40.41    pm-d12e0038   <none>           <none>
deepseek671-32-verl-moe-verl-worker-22   1/1     Running   0          27m   10.127.40.39    pm-d12e0036   <none>           <none>
deepseek671-32-verl-moe-verl-worker-23   1/1     Running   0          27m   10.127.39.43    pm-20130040   <none>           <none>
deepseek671-32-verl-moe-verl-worker-24   1/1     Running   0          27m   10.127.40.21    pm-d12e0018   <none>           <none>
deepseek671-32-verl-moe-verl-worker-25   1/1     Running   0          27m   10.127.39.35    pm-20130032   <none>           <none>
deepseek671-32-verl-moe-verl-worker-26   1/1     Running   0          27m   10.127.39.126   pm-20130123   <none>           <none>
deepseek671-32-verl-moe-verl-worker-27   1/1     Running   0          27m   10.127.39.34    pm-20130031   <none>           <none>
deepseek671-32-verl-moe-verl-worker-28   1/1     Running   0          27m   10.127.39.44    pm-20130041   <none>           <none>
deepseek671-32-verl-moe-verl-worker-29   1/1     Running   0          27m   10.127.40.104   pm-d12e0101   <none>           <none>
deepseek671-32-verl-moe-verl-worker-3    1/1     Running   0          27m   10.127.39.33    pm-20130030   <none>           <none>
deepseek671-32-verl-moe-verl-worker-30   1/1     Running   0          27m   10.127.39.28    pm-20130025   <none>           <none>
deepseek671-32-verl-moe-verl-worker-4    1/1     Running   0          27m   10.127.40.89    pm-d12e0086   <none>           <none>
deepseek671-32-verl-moe-verl-worker-5    1/1     Running   0          27m   10.127.40.94    pm-d12e0091   <none>           <none>
deepseek671-32-verl-moe-verl-worker-6    1/1     Running   0          27m   10.127.40.92    pm-d12e0089   <none>           <none>
deepseek671-32-verl-moe-verl-worker-7    1/1     Running   0          27m   10.127.40.101   pm-d12e0098   <none>           <none>
deepseek671-32-verl-moe-verl-worker-8    1/1     Running   0          27m   10.127.40.46    pm-d12e0043   <none>           <none>
deepseek671-32-verl-moe-verl-worker-9    1/1     Running   0          27m   10.127.40.108   pm-d12e0105   <none>           <none>
