NAME                                     READY   STATUS    RESTARTS   AGE     IP              NODE          NOMINATED NODE   READINESS GATES
deepseek671-32-verl-moe-less-master-0    1/1     Running   0          2m44s   10.127.39.64    pm-20130061   <none>           <none>
deepseek671-32-verl-moe-less-worker-0    1/1     Running   0          2m44s   10.127.39.78    pm-20130075   <none>           <none>
deepseek671-32-verl-moe-less-worker-1    1/1     Running   0          2m44s   10.127.39.37    pm-20130034   <none>           <none>
deepseek671-32-verl-moe-less-worker-10   1/1     Running   0          2m44s   10.127.40.27    pm-d12e0024   <none>           <none>
deepseek671-32-verl-moe-less-worker-11   1/1     Running   0          2m44s   10.127.40.71    pm-d12e0068   <none>           <none>
deepseek671-32-verl-moe-less-worker-12   1/1     Running   0          2m44s   10.127.40.10    pm-d12e0007   <none>           <none>
deepseek671-32-verl-moe-less-worker-13   1/1     Running   0          2m44s   10.127.39.26    pm-20130023   <none>           <none>
deepseek671-32-verl-moe-less-worker-14   1/1     Running   0          2m44s   10.127.40.31    pm-d12e0028   <none>           <none>
deepseek671-32-verl-moe-less-worker-15   1/1     Running   0          2m44s   10.127.39.61    pm-20130058   <none>           <none>
deepseek671-32-verl-moe-less-worker-16   1/1     Running   0          2m44s   10.127.40.63    pm-d12e0060   <none>           <none>
deepseek671-32-verl-moe-less-worker-17   1/1     Running   0          2m44s   10.127.40.16    pm-d12e0013   <none>           <none>
deepseek671-32-verl-moe-less-worker-18   1/1     Running   0          2m44s   10.127.40.6     pm-d12e0003   <none>           <none>
deepseek671-32-verl-moe-less-worker-19   1/1     Running   0          2m44s   10.127.40.103   pm-d12e0100   <none>           <none>
deepseek671-32-verl-moe-less-worker-2    1/1     Running   0          2m44s   10.127.40.85    pm-d12e0082   <none>           <none>
deepseek671-32-verl-moe-less-worker-20   1/1     Running   0          2m44s   10.127.40.68    pm-d12e0065   <none>           <none>
deepseek671-32-verl-moe-less-worker-21   1/1     Running   0          2m44s   10.127.40.23    pm-d12e0020   <none>           <none>
deepseek671-32-verl-moe-less-worker-22   1/1     Running   0          2m44s   10.127.40.109   pm-d12e0106   <none>           <none>
deepseek671-32-verl-moe-less-worker-23   1/1     Running   0          2m44s   10.127.39.88    pm-20130085   <none>           <none>
deepseek671-32-verl-moe-less-worker-24   1/1     Running   0          2m44s   10.127.39.32    pm-20130029   <none>           <none>
deepseek671-32-verl-moe-less-worker-25   1/1     Running   0          2m44s   10.127.40.29    pm-d12e0026   <none>           <none>
deepseek671-32-verl-moe-less-worker-26   1/1     Running   0          2m44s   10.127.39.108   pm-20130105   <none>           <none>
deepseek671-32-verl-moe-less-worker-27   1/1     Running   0          2m44s   10.127.39.110   pm-20130107   <none>           <none>
deepseek671-32-verl-moe-less-worker-28   1/1     Running   0          2m44s   10.127.39.127   pm-20130124   <none>           <none>
deepseek671-32-verl-moe-less-worker-29   1/1     Running   0          2m44s   10.127.40.58    pm-d12e0055   <none>           <none>
deepseek671-32-verl-moe-less-worker-3    1/1     Running   0          2m44s   10.127.39.39    pm-20130036   <none>           <none>
deepseek671-32-verl-moe-less-worker-30   1/1     Running   0          2m44s   10.127.40.73    pm-d12e0070   <none>           <none>
deepseek671-32-verl-moe-less-worker-4    1/1     Running   0          2m44s   10.127.40.82    pm-d12e0079   <none>           <none>
deepseek671-32-verl-moe-less-worker-5    1/1     Running   0          2m44s   10.127.39.46    pm-20130043   <none>           <none>
deepseek671-32-verl-moe-less-worker-6    1/1     Running   0          2m44s   10.127.40.14    pm-d12e0011   <none>           <none>
deepseek671-32-verl-moe-less-worker-7    1/1     Running   0          2m44s   10.127.39.75    pm-20130072   <none>           <none>
deepseek671-32-verl-moe-less-worker-8    1/1     Running   0          2m44s   10.127.40.33    pm-d12e0030   <none>           <none>
deepseek671-32-verl-moe-less-worker-9    1/1     Running   0          2m44s   10.127.40.42    pm-d12e0039   <none>           <none>
